Username,label,Time,action
新客欲摘桃花同载酒 07:07,"['', '新客']",07:07,['从推荐来了']
新客溜溜酱小姐姐 07:07,"['', '新客']",07:07,['从直播频道关注来了']
老客隐庭微笑 07:07,"['', '老客']",07:07,['进入直播间']
未关注新客我的故事的香水香香店 07:06,"['未关注', '新客']",07:06,['进入直播间']
未关注新客pochibb:开发测试1 07:07,"['未关注', '新客']",07:07,['进入直播间']
未关注新客pochibb:草莓 07:07,"['未关注', '新客']",07:07,['进入直播间']
未关注新客pochibb:柠檬 07:07,"['未关注', '新客']",07:07,['进入直播间']
新客___SummerT 07:07,"['', '新客']",07:07,['从推荐来了']
新客猫生妹 07:07,"['', '新客']",07:07,['从直播频道关注来了']
老客youyou8118 07:07,"['', '老客']",07:07,['进入直播间']
新客自由清清m 07:07,"['', '新客']",07:07,['进入直播间']
新客转角遇到你__65 07:07,"['', '新客']",07:07,['从推荐来了']
老客喵啾 07:07,"['', '老客']",07:07,['进入直播间']
老客尧尧妈妈 07:07,"['', '老客']",07:07,['进入直播间']
未关注新客echoj 07:07,"['未关注', '新客']",07:07,['从推荐来了']
老客梦梦哒的日常 07:07,"['', '老客']",07:07,['从推荐来了']
未关注新客纤矜萧睫 07:06,"['未关注', '新客']",07:06,['点击了 【0329017】不退换 美国直邮 CK 男士短袖T恤【40LP852】']
新客小菜子cyx 07:07,"['', '新客']",07:07,['从推荐来了']
老客鼠小弟 07:07,"['', '老客']",07:07,['从直播频道关注来了']
未关注新客佳木莉莉 07:07,"['未关注', '新客']",07:07,['从推荐来了']
未关注新客没钱了拿什么买啊 07:07,"['未关注', '新客']",07:07,['进入直播间']
新客巴啦啦 07:06,"['', '新客']",07:06,['点击了 【0329017】不退换 美国直邮 CK 男士短袖T恤【40LP852】']
老客小小9408333+_+ 07:07,"['', '老客']",07:07,['从推荐来了']
老客杜杜 07:07,"['', '老客']",07:07,['从直播频道关注来了']
老客透明啊啦蕾 07:06,"['', '老客']",07:06,['点击了 【女店】不退换 美国直邮af女士背心【0703-900】']
老客新新queen 07:06,"['', '老客']",07:06,['点击了 不退换 美国直邮  CK 男士半拉链卫衣刺绣标【40JP234】 内']
老客wzywzy315 07:06,"['', '老客']",07:06,['点击了 【0331013】不退换美国直邮CK男士短袖T恤刺绣小标款 【40HP265】']
老客悠在线 07:06,"['', '老客']",07:06,['点击了 【A1270】不退换美国直邮 拉*夫 男士 小熊骑马连帽卫衣']
老客江生生2008 07:06,"['', '老客']",07:06,['点击了 不退换 美国直邮  CK 男士半拉链卫衣刺绣标【40JP234】 内']
老客窝_窝_头 07:07,"['', '老客']",07:07,['点击了 【0322083】不退换美国直邮LULU WovenAir 男士 纯色休闲裤']
老客九月的蓝调 07:07,"['', '老客']",07:07,['从推荐来了']
老客嬉游太平 07:07,"['', '老客']",07:07,['从直播频道关注来了']
老客%SuperMan 07:07,"['', '老客']",07:07,['从直播频道关注来了']
老客5624虎太太 07:07,"['', '老客']",07:07,['从推荐来了']
未关注新客louis枭 07:07,"['未关注', '新客']",07:07,['从推荐来了']
老客透明啊啦蕾 07:07,"['', '老客']",07:07,['点击了 【0331013】不退换美国直邮CK男士短袖T恤刺绣小标款 【40HP265】']
老客mapletree 07:07,"['', '老客']",07:07,['从推荐来了']
新客苏苏 07:07,"['', '新客']",07:07,['从推荐来了']
新客喜欢卷毛小狗 07:07,"['', '新客']",07:07,['从推荐来了']
未关注新客whisky547 07:07,"['未关注', '新客']",07:07,['从推荐来了']
未关注新客~掐指一算~ 07:07,"['未关注', '新客']",07:07,['从推荐来了']
老客超级大爽 07:07,"['', '老客']",07:07,['进入直播间']
老客ggg666666 07:07,"['', '老客']",07:07,['从推荐来了']
未关注新客白菜57 07:07,"['未关注', '新客']",07:07,['进入直播间']
新客蓝血人88888 07:07,"['', '新客']",07:07,['从推荐来了']
老客花小朵儿 07:07,"['', '老客']",07:07,['从推荐来了']
老客窝_窝_头 07:07,"['', '老客']",07:07,['加购了 【0322083】不退换美国直邮LULU WovenAir 男士 纯色休闲裤']
新客迷途知返 07:07,"['', '新客']",07:07,['从推荐来了']
老客ThreeHaha 07:07,"['', '老客']",07:07,['从推荐来了']
新客霸道菇凉最给力 07:07,"['', '新客']",07:07,['从推荐来了']
新客伊红豆 07:07,"['', '新客']",07:07,['从推荐来了']
未关注新客less 07:07,"['未关注', '新客']",07:07,['从推荐来了']
未关注新客用户_29681148 07:07,"['未关注', '新客']",07:07,['从推荐来了']
未关注新客美丽的chao 07:07,"['未关注', '新客']",07:07,['从推荐来了']
未关注新客剪刀 07:07,"['未关注', '新客']",07:07,['从推荐来了']
老客杜杜 07:07,"['', '老客']",07:07,['点击了 【女店】不退换 美国直邮af女士背心【0703-900】']
老客5624虎太太 07:07,"['', '老客']",07:07,['点击了 【0322083】不退换美国直邮LULU WovenAir 男士 纯色休闲裤']
新客___SummerT 07:07,"['', '新客']",07:07,['点击了 【女店】不退换 美国直邮af女士背心【0703-900】']
新客溜溜酱小姐姐 07:07,"['', '新客']",07:07,['点击了 【A0021】不退换美国直邮海*鸥女士瑜伽裤【0316-900】']
老客隐庭微笑 07:07,"['', '老客']",07:07,['点击了 【A0021】不退换美国直邮海*鸥女士瑜伽裤【0316-900】']
老客江生生2008 07:07,"['', '老客']",07:07,['点击了 【A0021】不退换美国直邮海*鸥女士瑜伽裤【0316-900】']
老客run坨坨 07:07,"['', '老客']",07:07,['下班啦']
新客tbNick_87xf0 07:07,"['', '新客']",07:07,['点击了 【0329017】不退换 美国直邮 CK 男士短袖T恤【40LP852】']
未关注新客周三朵 07:07,"['未关注', '新客']",07:07,['从推荐来了']
未关注新客tbNick_5k78x 07:07,"['未关注', '新客']",07:07,['进入直播间']
