Username,label,Time,action
老客勒偏偏0914 19:33,"['', '老客']",19:33,['从直播频道关注来了']
老客爱吃三丝一果的冰沙04 19:32,"['', '老客']",19:32,['点击了 【抢 国内现货 】冠**军卫衣']
老客靠着树的叶子 19:33,"['', '老客']",19:33,['进入直播间']
老客哞哞牛牛 19:33,"['', '老客']",19:33,['从推荐来了']
新客blue 19:33,"['', '新客']",19:33,['进入直播间']
新客紫醉金迷6 19:32,"['', '新客']",19:32,['从推荐来了']
新客大白兔兔兔 19:32,"['', '新客']",19:32,['加购了 【抢 国内现货 】冠**军卫衣']
新客olay2020 19:32,"['', '新客']",19:32,['进入直播间']
新客Jane 19:32,"['', '新客']",19:32,['从推荐来了']
老客茶茶 19:32,"['', '老客']",19:32,['点击了 【抢 国内现货 】冠**军卫衣']
老客美女 19:32,"['', '老客']",19:32,['从直播频道关注来了']
老客米拉米拉 19:32,"['', '老客']",19:32,['加购了 【抢 国内现货 】冠**军卫衣']
老客你很皮的哈 19:32,"['', '老客']",19:32,['点击了 【抢 国内现货 】冠**军卫衣']
未关注新客tbNick_itia5 19:31,"['未关注', '新客']",19:31,['从推荐来了']
老客LOVE古力 19:31,"['', '老客']",19:31,['从直播频道关注来了']
老客靠着树的叶子 19:33,"['', '老客']",19:33,['加购了 【抢 国内现货 】冠**军卫衣']
老客天使-乐园 19:33,"['', '老客']",19:33,['进入直播间']
老客Sunny 19:33,"['', '老客']",19:33,['进入直播间']
老客superYan 19:33,"['', '老客']",19:33,['点击了 【抢 国内现货 】冠**军卫衣']
新客摩卡金 19:33,"['', '新客']",19:33,['从直播频道关注来了']
老客射手的绿太阳 19:31,"['', '老客']",19:31,['从直播频道关注来了']
新客紫醉金迷6 19:33,"['', '新客']",19:33,['点击了 【抢 国内现货 】冠**军卫衣']
新客稳稳的幸福D 19:33,"['', '新客']",19:33,['进入直播间']
老客你很皮的哈 19:33,"['', '老客']",19:33,['点击了 【抢 国内现货 】冠**军卫衣']
新客阳光-x 19:33,"['', '新客']",19:33,['从推荐来了']
老客米拉米拉 19:33,"['', '老客']",19:33,['点击了 【抢 国内现货 】冠**军卫衣']
新客紫醉金迷6 19:33,"['', '新客']",19:33,['xl胸围多少啊']
老客乂爻 19:30,"['', '老客']",19:30,['今天有中号和大码不？']
老客夏天的风 19:33,"['', '老客']",19:33,['点击了 【抢 国内现货 】冠**军卫衣']
老客Casset 19:33,"['', '老客']",19:33,['点击了 【抢 国内现货 】冠**军卫衣']
老客tbNick_f40hd 19:32,"['', '老客']",19:32,['点击了 【抢 国内现货 】冠**军卫衣']
新客幸运果 19:17,"['', '新客']",19:17,['点击了 【抢 国内现货 】冠**军卫衣']
老客Myhsd 19:07,"['', '老客']",19:07,['进入直播间']
老客霸气的粒子 19:33,"['', '老客']",19:33,['点击了 【抢 国内现货 】冠**军卫衣']
老客卡宝暖宝 19:33,"['', '老客']",19:33,['有c姐穿的同款蓝条纹衬衫吗']
新客直播助理7 18:59,"['', '新客']",18:59,['从推荐来了']
未关注新客pochibb:柠檬 19:34,"['未关注', '新客']",19:34,['进入直播间']
未关注新客吞吞吐吐的骨灰 19:34,"['未关注', '新客']",19:34,['进入直播间']
老客o(^_^)o今夕何夕 19:34,"['', '老客']",19:34,['进入直播间']
老客用户_00059576 19:34,"['', '老客']",19:34,['进入直播间']
老客缘心 19:34,"['', '老客']",19:34,['从直播频道关注来了']
老客勒偏偏0914 19:34,"['', '老客']",19:34,['点击了 【抢 国内现货 】冠**军卫衣']
老客霸气的粒子 19:34,"['', '老客']",19:34,['点击了 【抢 国内现货 】冠**军卫衣']
新客smileqianliu 19:34,"['', '新客']",19:34,['从直播频道关注来了']
老客米拉米拉 19:34,"['', '老客']",19:34,['加购了 【抢 国内现货 】冠**军卫衣']
老客哞哞牛牛 19:34,"['', '老客']",19:34,['点击了 【抢 国内现货 】冠**军卫衣']
老客霸气的粒子 19:34,"['', '老客']",19:34,['哈哈']
老客爱吃三丝一果的冰沙04 19:34,"['', '老客']",19:34,['酒红色有L？']
老客Casset 19:34,"['', '老客']",19:34,['从直播频道关注来了']
新客ml2345 19:34,"['', '新客']",19:34,['从推荐来了']
老客superYan 19:34,"['', '老客']",19:34,['从推荐来了']
未关注老客cherry1020620 19:35,"['未关注', '老客']",19:35,['从推荐来了']
老客射手的绿太阳 19:35,"['', '老客']",19:35,['从直播频道关注来了']
未关注新客影像生 19:35,"['未关注', '新客']",19:35,['进入直播间']
新客藏青色的丑梨80 19:35,"['', '新客']",19:35,['从推荐来了']
老客wxx__ 19:35,"['', '老客']",19:35,['从直播频道关注来了']
